width,height,loadLatency,streamBandwidth,estimatedBandwidth,decodedFrames,droppedFrames,bufferingTime,playTime,pauseTime,manifestTimeSeconds,corruptedFrames,rtt,rto
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,4,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,6,0,0,0,1,0,0,47,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,13,0,0,1,2,0,0,18,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,21,0,0,1,2,0,0,12,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,29,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,37,0,0,1,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,45,0,0,2,2,0,0,20,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,53,0,0,2,2,0,0,14,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,61,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,69,0,0,2,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,77,0,0,3,2,0,0,19,200
854,480,105,3077,0,85,0,0,3,2,0,0,14,200
854,480,105,3077,0,85,0,0,3,2,0,0,14,200
854,480,105,3077,0,85,0,0,3,2,0,0,14,200
854,480,105,3077,0,85,0,0,3,2,0,0,14,200
854,480,105,3077,0,85,0,0,3,2,0,0,14,200
